service_id,date,exception_type
BSP24GEN-FS012-Sunday-00,20241128,1
BSP24GEN-G037-Saturday-00_C46,20240704,1
BSP24GEN-G037-Saturday-00_C46,20240720,2
BSP24GEN-G037-Saturday-00_C46,20240727,2
BSP24GEN-G038-Sunday-00_C8,20240721,2
BSP24GEN-G038-Sunday-00_C8,20240902,1
BSP24GEN-G038-Sunday-00_C8,20241128,1
BSP24GEN-G054-Weekday-00_C23,20240704,2
BSP24GEN-G054-Weekday-00_C23,20240719,2
BSP24GEN-G054-Weekday-00_C23,20240722,2
BSP24GEN-G054-Weekday-00_C23,20240723,2
BSP24GEN-G054-Weekday-00_C23,20240724,2
BSP24GEN-G054-Weekday-00_C23,20240725,2
BSP24GEN-G054-Weekday-00_C23,20240726,2
BSP24GEN-G054-Weekday-00_C23,20240902,2
BSP24GEN-G054-Weekday-00_C23,20241128,2
BSP24GEN-H025-Sunday-00_C7,20240721,2
BSP24GEN-H025-Sunday-00_C7,20240902,1
BSP24GEN-H025-Sunday-00_C7,20241128,1
BSP24GEN-H026-Saturday-00_C35,20240704,1
BSP24GEN-H026-Saturday-00_C35,20240720,2
BSP24GEN-H026-Saturday-00_C35,20240727,2
BSP24GEN-H042-Weekday-00_C37,20240704,2
BSP24GEN-H042-Weekday-00_C37,20240719,2
BSP24GEN-H042-Weekday-00_C37,20240722,2
BSP24GEN-H042-Weekday-00_C37,20240723,2
BSP24GEN-H042-Weekday-00_C37,20240724,2
BSP24GEN-H042-Weekday-00_C37,20240725,2
BSP24GEN-H042-Weekday-00_C37,20240726,2
BSP24GEN-H042-Weekday-00_C37,20240902,2
BSP24GEN-H042-Weekday-00_C37,20241128,2
BSP24GEN-J033-Saturday-00_C2,20240704,1
BSP24GEN-J033-Saturday-00_C2,20240720,2
BSP24GEN-J033-Sunday-00_C45,20240721,2
BSP24GEN-J033-Sunday-00_C45,20240902,1
BSP24GEN-J033-Sunday-00_C45,20241128,1
BSP24GEN-J055-Weekday-00_C43,20240704,2
BSP24GEN-J055-Weekday-00_C43,20240719,2
BSP24GEN-J055-Weekday-00_C43,20240722,2
BSP24GEN-J055-Weekday-00_C43,20240723,2
BSP24GEN-J055-Weekday-00_C43,20240724,2
BSP24GEN-J055-Weekday-00_C43,20240725,2
BSP24GEN-J055-Weekday-00_C43,20240726,2
BSP24GEN-J055-Weekday-00_C43,20240902,2
BSP24GEN-J055-Weekday-00_C43,20241128,2
BSP24GEN-L026-Saturday-00_C15,20240704,1
BSP24GEN-L026-Saturday-00_C15,20240720,2
BSP24GEN-L026-Sunday-00_C32,20240721,2
BSP24GEN-L026-Sunday-00_C32,20240902,1
BSP24GEN-L026-Sunday-00_C32,20241128,1
BSP24GEN-L049-Weekday-00_C59,20240704,2
